"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10"
3092;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"P";40;"152-2";1;1091,5282552027
3119;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"G";50;"152-2";1;1098,20202475893
3146;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;3100;"P";50;"152-2";1;1087,19060494384
3435;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";30;"152-3";1;1264,77738280837
3436;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"G";30;"152-3";1;1266,73108045064
3437;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"G";30;"152-3";1;1268,71242215797
3438;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"G";30;"152-3";1;1270,72200296877
3457;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";30;"152-3";1;1254,698017729
3458;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"P";30;"152-3";1;1256,65171537128
3459;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"P";30;"152-3";1;1258,6330570786
3460;56;"G";90;0,976470588235294;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"P";30;"152-3";1;1260,6426378894
3479;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"G";40;"152-3";1;986,198909360487
3480;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2500;"G";40;"152-3";1;988,859889346085
3481;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2600;"G";40;"152-3";1;991,560742064373
3482;56;"G";90;0,964705882352941;0,976470588235294;1;0,929411764705882;0,905882352941176;2700;"G";40;"152-3";1;994,302389137091
3501;56;"G";90;0,952941176470588;0,976470588235294;1;0,929411764705882;0,905882352941176;2400;"P";40;"152-3";1;973,133433170011
