"TFZ";"NUM_TFZ";"VMAX";"TOTALWEIGHT";"BREAKCLASS";"BrH";"LZB";"ELECTRIC";"T10km";"T10kmRound";"COVERAGE";"STA";"GAIN";"NAME"
"143-6";2;90;2265;"P";44;TRUE;1;529,001886409318;530;0,657534246575342;"319";11965,0416253409;"G4"
"285-2";1;90;2560;"G";44;FALSE;1;778,273586937253;779;0,9041;"319";0;"S90"
"4370-1";1;90;1975;"P";56;FALSE;1;549,743140885997;550;0,931034482758621;"31";3616,75689698396;"G1"
"180-1";1;80;2084;"G";50;FALSE;1;683,697100033551;684;0,9023;"31";0;"S90"
"4370-1";1;90;1975;"P";56;FALSE;1;549,743140885997;550;0,7;"329";2813,03314209863;"G1"
"180-1";1;80;2084;"G";50;FALSE;1;683,697100033551;684;0,9023;"329";0;"S90"
"1144-1";1;90;1484;"P";56;FALSE;1;553,979947127541;554;0,635294117647059;"33";12111,8565497244;"G17"
"285-2";1;90;2560;"G";52;FALSE;1;778,273586937253;779;0,9059;"33";0;"S90"
"143-6";2;90;2265;"P";65;TRUE;1;529,001886409318;530;0,51219512195122;"35";3248,59948610889;"G4"
"180-1";1;80;2084;"G";62;FALSE;1;683,697100033551;684;0,9024;"35";0;"S90"
"180-1";1;90;1584;"P";56;FALSE;1;581,626095415237;582;0,573529411764706;"37";13210,0693355361;"G15"
"180-1";1;80;2484;"G";54;FALSE;1;750,985958691341;751;0,9044;"37";0;"S90"
"4370-1";1;90;1975;"P";63;FALSE;1;549,743140885997;550;0,650793650793651;"39A";5492,11232504971;"G1"
"180-1";1;80;2084;"G";50;FALSE;1;683,697100033551;684;0,9023;"39A";0;"S90"
"180-1";1;100;1184;"P";65;FALSE;1;517,643876549045;518;0,542372881355932;"39B";5313,70315150419;"G8"
"180-1";1;80;2084;"G";58;FALSE;1;683,697100033551;684;0,9153;"39B";0;"S90"
"180-1";1;90;1584;"P";52;FALSE;1;581,626095415237;582;0,784615384615385;"41";8110,51000170048;"G15"
"371-1";1;80;2084;"G";52;FALSE;1;740,655703291717;741;0,9231;"41";0;"S90"
"143-6";2;90;2265;"P";63;TRUE;1;529,001886409318;530;0,435897435897436;"43";4046,1510943781;"G4"
"185-2";1;90;2785;"G";54;FALSE;1;633,58086915067;634;0,615384615384615;"43";1779,01583281522;"G7"
"294-2";1;40;1789;"G";51;FALSE;1;850,482585930078;851;0,9487;"43";0;"S90"
"4370-1";1;90;1975;"P";67;FALSE;1;549,743140885997;550;0,454545454545455;"47";669,76979573777;"G1"
"180-1";1;80;2084;"G";50;FALSE;1;683,697100033551;684;0,9023;"47";0;"S90"
"143-6";2;90;2265;"P";56;TRUE;1;529,001886409318;530;0,414634146341463;"53";7080,76441516168;"G4"
"185-2";1;90;2785;"G";52;FALSE;1;633,58086915067;634;0,719512195121951;"53";6819,56069245835;"G7"
"294-2";1;40;1789;"G";56;FALSE;1;850,482585930078;851;0,9146;"53";0;"S90"
"185-2";1;90;2185;"G";56;FALSE;1;585,221746667392;586;0,724137931034483;"55A";2067,98242068934;"G14"
"180-1";1;80;2084;"G";56;FALSE;1;683,697100033551;684;0,9157;"55A";0;"S90"
"1144-1";1;90;1484;"P";56;FALSE;1;553,979947127541;554;0,470588235294118;"55B";5383,04735543309;"G17"
"285-2";1;70;2560;"G";43;FALSE;1;778,273586937253;779;0,902;"55B";0;"S90"
"1144-1";1;90;1484;"P";50;FALSE;1;553,979947127541;554;0,581920903954802;"57A";16102,3722747173;"G17"
"180-1";1;90;2284;"G";52;FALSE;1;710,313658532563;711;0,904;"57A";0;"S90"
"4370-1";1;90;1975;"P";55;FALSE;1;549,743140885997;550;0,641791044776119;"57B";11520,0404866896;"G1"
"180-1";1;80;2084;"G";55;FALSE;1;683,697100033551;684;0,903;"57B";0;"S90"
"4370-1";1;90;1975;"P";56;FALSE;1;549,743140885997;550;0,69047619047619;"5";6627,38293548642;"G1"
"285-2";1;70;2560;"G";50;FALSE;1;778,273586937253;779;0,9048;"5";0;"S90"
"4370-1";1;90;1975;"P";53;FALSE;1;549,743140885997;550;0,842105263157895;"61";5138,25656469011;"G1"
"180-1";1;90;2284;"G";53;FALSE;1;710,313658532563;711;0,9474;"61";0;"S90"
"185-2";1;100;1675;"P";60;FALSE;1;502,506316794503;503;0,651515151515151;"63B";7791,20367927906;"G12"
"180-1";1;80;2084;"G";54;FALSE;1;683,697100033551;684;0,9242;"63B";0;"S90"
"1144-1";1;90;1484;"P";53;FALSE;1;553,979947127541;554;0,74;"65";4799,53465752237;"G17"
"180-1";1;80;2084;"G";53;FALSE;1;683,697100033551;684;0,92;"65";0;"S90"
"143-6";2;100;2075;"P";54;TRUE;1;498,195264264677;499;0,653061224489796;"67";2139,33970428051;"G9"
"185-2";1;80;2275;"P";54;FALSE;1;565,049630023443;566;0,9184;"67";0;"S90"
"189-2";1;100;1436;"P";63;FALSE;1;480,999082124177;481;0,818181818181818;"71";3025,81972437358;"G13"
