"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TOTALWEIGHT";"BREAKCLASS";"TFZ";"NUM_TFZ";"T10"
549;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"G";"156-1";1;637,889161053168
550;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"G";"156-1";1;661,243951652271
568;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2300;"P";"156-1";1;615,776654612838
569;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2400;"P";"156-1";1;637,889161053168
570;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;2500;"P";"156-1";1;661,243951652271
577;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1300;"G";"180-1";1;568,563015565016
578;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1400;"G";"180-1";1;599,066539042114
579;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"G";"180-1";1;629,250966957813
580;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"G";"180-1";1;666,412238601065
581;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"G";"180-1";1;705,31978483015
582;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1800;"G";"180-1";1;769,567894440211
597;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1300;"P";"180-1";1;568,563015565016
598;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1400;"P";"180-1";1;599,066539042114
599;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"P";"180-1";1;629,250966957813
600;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"P";"180-1";1;666,412238601065
601;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1700;"P";"180-1";1;705,31978483015
602;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1800;"P";"180-1";1;769,567894440211
613;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1500;"G";"181-2";1;717,196266194495
614;50;"P";90;0,972972972972973;0,972972972972973;1;0,918918918918919;0,918918918918919;1600;"G";"181-2";1;768,214712204291
