"a";"b";"c";"v";"a_res";"b_res";"c_res";"v_res";"total_res";"TFZ";"TOTALWEIGHT";"NUM_TFZ";"VMAX";"T10"
894;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"371-1";2084;1;100;740,655703291717
897;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"180-1";2384;1;90;739,848908452917
900;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"371-1";1884;1;100;715,305773292214
902;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"180-1";2074;1;100;682,444907837691
904;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"180-1";2484;1;90;750,985958691341
909;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"180-1";2064;1;90;681,199472667362
914;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"180-1";2284;1;90;710,313658532563
915;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"180-1";1884;1;90;659,847857745824
920;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"264-1";4356;1;80;876,87510703218
921;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"264-1";3076;1;90;746,923104667902
923;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"246-1";2482;1;80;861,830255963242
925;62;"G";90;0,966942148760331;0,925619834710744;1;0,925619834710744;0,917355371900826;"285-2";2560;1;90;778,273586937253
937;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"155-1";3073;1;90;701,910058021542
947;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"261-2";1880;1;50;1022,21376116044
949;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"232-2";2772;1;90;852,9543578825
950;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"232-2";2662;1;90;785,513332220166
951;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"261-1";1400;1;80;870,580423277295
955;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"140-1";1863;1;90;635,143803942809
964;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"185CL1-1";2894;1;90;655,607070909318
966;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"151-1";5636;2;90;634,702133759974
974;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"295-1";1359;1;80;907,09860687469
977;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"260-2";1704;1;90;851,82171463553
990;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"261-2";1965;1;50;1029,31424656248
1008;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"203-1";1168;1;80;689,201096924137
1009;62;"G";90;0,983471074380165;0,925619834710744;1;0,925619834710744;0,917355371900826;"G1206-3";1937;1;100;869,30840562165
1015;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"66-1";3096;1;90;789,367181917803
1017;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"155-1";3023;1;90;681,290696433359
1023;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"247-1";4809;1;90;1032,66786239258
1024;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"66-1";4806;1;90;1038,37163021269
1027;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"G1000-1";1380;1;100;861,097230636314
1030;62;"G";90;0,933884297520661;0,925619834710744;1;0,925619834710744;0,909090909090909;"140-1";1783;1;90;624,086039996854
1031;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"295-2";1829;1;40;878,723213651964
1036;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"140-1";2063;1;90;668,466313022513
1046;62;"G";90;0,975206611570248;0,925619834710744;1;0,925619834710744;0,909090909090909;"295-1";1379;1;40;912,571717280742
1047;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"295-1";1679;1;40;1045,1418945199
1053;62;"G";90;1;0,925619834710744;1;0,925619834710744;0,917355371900826;"295-1";1479;1;80;1024,27591868554
1054;62;"G";90;0,942148760330578;0,925619834710744;1;0,925619834710744;0,917355371900826;"6186-1";2884;1;90;655,06251651692
12;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"ER 20D-2";1880;1;80;746,259039057994
14;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"211-1";2241;2;80;883,736961496171
34;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"185-2";2635;1;90;620,418864540445
35;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"185-2";2735;1;90;629,094361966156
36;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"185-2";2785;1;90;633,58086915067
49;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"140-1";2083;1;100;670,800262981201
57;58;"G";90;0,966942148760331;0,933884297520661;1;0,925619834710744;0,925619834710744;"264-1";3456;1;80;765,887583017809
79;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"G1206-3";2087;1;80;883,367468423894
93;58;"G";90;0,917355371900826;0,933884297520661;1;0,925619834710744;0,900826446280992;"185CL1-1";2684;1;90;624,36296541038
94;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"185CL1-1";2984;1;100;662,002218059334
128;58;"G";90;0,983471074380165;0,933884297520661;1;0,925619834710744;0,925619834710744;"9274-1";1980;1;80;1021,11895287679
129;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"140-1";4086;2;90;665,774164163545
143;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"140-1";3966;2;90;659,035294102765
155;58;"G";90;0,933884297520661;0,933884297520661;1;0,925619834710744;0,917355371900826;"140-1";1873;1;90;636,5743960239
162;58;"G";90;0,942148760330578;0,933884297520661;1;0,925619834710744;0,925619834710744;"140-1";1883;1;90;638,016549486224
164;58;"G";90;0,991735537190083;0,933884297520661;1;0,925619834710744;0,917355371900826;"294-3";1480;1;80;881,272152419471
167;58;"G";90;0,958677685950413;0,933884297520661;1;0,925619834710744;0,917355371900826;"232-2";2322;1;80;755,6825161526
